time="2024-03-23 10:41:39" level=info msg="send_kefu_message <nil> {\"type\":\"userOffline\",\"data\":{\"name\":\"本机地址本机地址网友\",\"uid\":\"82e8cc9f-7cd5-43e2-b2d7-005aac83ce49\"}}"
time="2024-03-23 10:41:39" level=info msg="| 200 | 33.896632919s |       127.0.0.1 | GET | /ws_visitor?visitor_id=82e8cc9f-7cd5-43e2-b2d7-005aac83ce49 |"
time="2024-03-23 10:43:22" level=info msg="| 200 | 1m48.011158802s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTcxMTE2MTY5Mywia2VmdV9pZCI6MSwibmFtZSI6ImtlZnUyIiwicm9sZV9pZCI6MSwidHlwZSI6ImtlZnUifQ.bpW5DbDHq6XNhhW48zDuotdtaH3PMyiAw7GuKb02mno |"
time="2024-03-23 10:43:23" level=info msg="| 200 |    4.625603ms |             ::1 | GET | /setting_statistics |"
time="2024-03-23 10:43:24" level=info msg="| 200 |    4.684974ms |             ::1 | GET | /statistics |"
time="2024-03-23 10:43:27" level=info msg="| 200 |    1.941717ms |             ::1 | GET | /setting_deploy |"
time="2024-03-23 10:43:32" level=info msg="| 200 |    2.842512ms |             ::1 | GET | /setting_config |"
time="2024-03-23 10:43:32" level=info msg="| 200 |    3.101638ms |             ::1 | GET | /configs |"
time="2024-03-23 10:43:33" level=info msg="| 200 |    2.974871ms |             ::1 | GET | /setting_ipblack |"
time="2024-03-23 10:43:33" level=info msg="| 200 |    1.170483ms |             ::1 | GET | /ipblacks_all |"
time="2024-03-23 10:43:35" level=info msg="| 200 |    3.881888ms |             ::1 | GET | /chat_main |"
time="2024-03-23 10:43:35" level=info msg="| 200 |     2.85888ms |             ::1 | GET | /kefuinfo |"
time="2024-03-23 10:43:35" level=info msg="| 200 |    7.536279ms |             ::1 | GET | /ipblacks |"
time="2024-03-23 10:43:35" level=info msg="| 200 |    9.585804ms |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 10:43:35" level=info msg="| 200 |   12.128692ms |             ::1 | GET | /replys |"
time="2024-03-23 10:43:37" level=info msg="| 200 |    3.790925ms |             ::1 | GET | /visitors?page=1 |"
time="2024-03-23 10:43:37" level=info msg="| 200 |    1.683783ms |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 10:43:39" level=info msg="| 200 |    1.775491ms |             ::1 | GET | /visitor?visitorId=82e8cc9f-7cd5-43e2-b2d7-005aac83ce49 |"
time="2024-03-23 10:43:39" level=info msg="| 200 |   15.323365ms |             ::1 | GET | /2/messagesPages?page=1&pagesize=15&visitor_id=82e8cc9f-7cd5-43e2-b2d7-005aac83ce49 |"
time="2024-03-23 10:45:35" level=info msg="| 200 |    2.119121ms |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 10:47:35" level=info msg="| 200 |    3.755587ms |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 10:49:35" level=info msg="| 200 |    3.964379ms |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 10:51:35" level=info msg="| 200 |    7.949185ms |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 10:52:03" level=info msg="send_kefu_message <nil> {\"type\":\"userOffline\",\"data\":{\"name\":\"本机地址本机地址网友\",\"uid\":\"82e8cc9f-7cd5-43e2-b2d7-005aac83ce49\"}}"
time="2024-03-23 10:52:03" level=info msg="| 200 | 10m22.090595961s |       127.0.0.1 | GET | /ws_visitor?visitor_id=82e8cc9f-7cd5-43e2-b2d7-005aac83ce49 |"
time="2024-03-23 10:53:35" level=info msg="| 200 |      69.781µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 10:55:35" level=info msg="| 200 |      70.554µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 10:57:35" level=info msg="| 200 |       62.68µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 10:59:35" level=info msg="| 200 |      90.151µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:01:35" level=info msg="| 200 |     156.988µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:03:35" level=info msg="| 200 |     174.768µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:05:35" level=info msg="| 200 |     612.041µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:07:35" level=info msg="| 200 |      66.263µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:09:35" level=info msg="| 200 |     520.391µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:11:35" level=info msg="| 200 |      82.811µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:13:35" level=info msg="| 200 |      66.046µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:15:35" level=info msg="| 200 |      77.147µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:17:35" level=info msg="| 200 |      80.045µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:19:35" level=info msg="| 200 |     165.055µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:21:35" level=info msg="| 200 |      69.889µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:23:35" level=info msg="| 200 |      62.124µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:25:35" level=info msg="| 200 |     115.642µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:27:35" level=info msg="| 200 |      77.564µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:29:35" level=info msg="| 200 |      90.897µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:31:35" level=info msg="| 200 |      78.443µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:33:35" level=info msg="| 200 |      98.235µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:35:35" level=info msg="| 200 |     572.865µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:37:35" level=info msg="| 200 |      61.422µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:39:35" level=info msg="| 200 |      87.306µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:41:35" level=info msg="| 200 |      62.994µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:43:35" level=info msg="| 200 |      53.457µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:45:35" level=info msg="| 200 |    5.119442ms |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:47:35" level=info msg="| 200 |      73.592µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:49:35" level=info msg="| 200 |      69.947µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:51:35" level=info msg="| 200 |      66.925µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:53:35" level=info msg="| 200 |      713.24µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:55:35" level=info msg="| 200 |      62.782µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:57:35" level=info msg="| 200 |      80.393µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 11:59:35" level=info msg="| 200 |      65.371µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:01:35" level=info msg="| 200 |     216.694µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:03:35" level=info msg="| 200 |     583.082µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:05:35" level=info msg="| 200 |      76.693µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:07:35" level=info msg="| 200 |       83.23µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:09:35" level=info msg="| 200 |      70.908µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:11:35" level=info msg="| 200 |      78.078µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:13:35" level=info msg="| 200 |      72.571µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:15:35" level=info msg="| 200 |      64.787µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:17:35" level=info msg="| 200 |       62.01µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:19:35" level=info msg="| 200 |      71.676µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:21:35" level=info msg="| 200 |      88.686µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:23:35" level=info msg="| 200 |       81.49µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:25:35" level=info msg="| 200 |     786.305µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:28:01" level=info msg="| 200 |     218.353µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:30:01" level=info msg="| 200 |      89.313µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:32:01" level=info msg="| 200 |     108.023µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:34:01" level=info msg="| 200 |      67.079µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:36:01" level=info msg="| 200 |       91.84µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:38:01" level=info msg="| 200 |     114.022µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:40:01" level=info msg="| 200 |     109.552µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:42:01" level=info msg="| 200 |      85.419µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:44:01" level=info msg="| 200 |      86.727µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:46:01" level=info msg="| 200 |    3.369098ms |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:48:01" level=info msg="| 200 |     152.182µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:50:01" level=info msg="| 200 |      83.636µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:52:01" level=info msg="| 200 |     130.129µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:54:01" level=info msg="| 200 |     208.236µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:56:01" level=info msg="| 200 |     101.259µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 12:58:01" level=info msg="| 200 |     131.294µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:00:01" level=info msg="| 200 |      95.232µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:02:01" level=info msg="| 200 |     113.678µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:04:01" level=info msg="| 200 |     630.275µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:06:02" level=info msg="| 200 |      75.834µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:08:02" level=info msg="| 200 |     149.371µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:10:02" level=info msg="| 200 |      89.905µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:12:02" level=info msg="| 200 |     100.877µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:14:02" level=info msg="| 200 |      96.105µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:16:02" level=info msg="| 200 |      90.723µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:18:02" level=info msg="| 200 |      63.016µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:20:02" level=info msg="| 200 |     125.335µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:22:01" level=info msg="| 200 |     104.166µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:24:01" level=info msg="| 200 |     101.277µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:26:01" level=info msg="| 200 |     107.819µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:28:01" level=info msg="| 200 |     128.439µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:30:02" level=info msg="| 200 |      75.436µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:32:02" level=info msg="| 200 |     788.269µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:34:02" level=info msg="| 200 |      115.02µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:36:02" level=info msg="| 200 |      96.721µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:38:02" level=info msg="| 200 |      118.78µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:40:02" level=info msg="| 200 |     101.654µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:42:02" level=info msg="| 200 |      72.265µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:44:02" level=info msg="| 200 |      75.359µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:46:02" level=info msg="| 200 |     209.798µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:48:02" level=info msg="| 200 |     108.078µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:50:02" level=info msg="| 200 |     116.946µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:52:02" level=info msg="| 200 |      95.293µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:54:02" level=info msg="| 200 |      84.152µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:56:02" level=info msg="| 200 |     124.792µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 13:58:02" level=info msg="| 200 |     117.674µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:00:02" level=info msg="| 200 |      66.793µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:02:02" level=info msg="| 200 |     190.227µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:04:02" level=info msg="| 200 |     311.798µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:06:02" level=info msg="| 200 |     504.482µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:08:02" level=info msg="| 200 |      95.657µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:10:02" level=info msg="| 200 |     488.568µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:12:02" level=info msg="| 200 |      72.192µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:14:02" level=info msg="| 200 |      68.276µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:16:02" level=info msg="| 200 |     408.024µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:18:02" level=info msg="| 200 |     117.066µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:20:02" level=info msg="| 200 |     111.663µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:22:02" level=info msg="| 200 |      81.788µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:24:02" level=info msg="| 200 |       94.91µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:25:59" level=info msg="| 200 |   39.028545ms |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:27:36" level=info msg="| 200 |     521.783µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:29:36" level=info msg="| 200 |      65.205µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:30:52" level=info msg="| 200 |    34.39495ms |             ::1 | GET | /main |"
time="2024-03-23 14:30:53" level=info msg="| 200 |       19.86µs |             ::1 | POST | /check_auth |"
time="2024-03-23 14:30:53" level=info msg="| 200 |    7.718729ms |             ::1 | GET | /chat_main |"
time="2024-03-23 14:30:53" level=info msg="| 200 |    6.122492ms |             ::1 | GET | /login |"
time="2024-03-23 14:31:02" level=info msg="| 200 |   31.803423ms |             ::1 | POST | /check |"
time="2024-03-23 14:31:02" level=info msg="| 200 |    1.834273ms |             ::1 | GET | /main |"
time="2024-03-23 14:31:03" level=info msg="| 200 |   12.870825ms |             ::1 | POST | /check_auth |"
time="2024-03-23 14:31:03" level=info msg="| 200 |    7.144133ms |             ::1 | GET | /chat_main |"
time="2024-03-23 14:31:03" level=info msg="| 200 |    3.974277ms |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:31:03" level=info msg="| 200 |   13.930143ms |             ::1 | GET | /ipblacks |"
time="2024-03-23 14:31:03" level=info msg="| 200 |    25.54926ms |             ::1 | GET | /kefuinfo |"
time="2024-03-23 14:31:03" level=info msg="| 200 |   30.998855ms |             ::1 | GET | /replys |"
time="2024-03-23 14:31:36" level=info msg="| 200 |      69.778µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:33:03" level=info msg="| 200 |     453.842µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:33:36" level=info msg="| 200 |      98.522µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:35:03" level=info msg="| 200 |     114.628µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:35:36" level=info msg="| 200 |      123.33µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:37:03" level=info msg="| 200 |     107.508µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:37:36" level=info msg="| 200 |       75.32µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:39:03" level=info msg="| 200 |    1.651744ms |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:39:36" level=info msg="| 200 |       73.47µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:41:01" level=info msg="| 200 |   19.104874ms |             ::1 | GET | /pannel |"
time="2024-03-23 14:41:01" level=info msg="| 200 | 9m57.453574955s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTcxMTE3NTQ2Miwia2VmdV9pZCI6MiwibmFtZSI6InJvb3QiLCJyb2xlX2lkIjoxLCJ0eXBlIjoia2VmdSJ9.ii25Wv3uLwtTF4gVuXsRdpe6oMAW1_fFHIS1a77Ibm4 |"
time="2024-03-23 14:41:01" level=info msg="| 200 |   30.434201ms |             ::1 | GET | /kefu/chartStatistics |"
time="2024-03-23 14:41:04" level=info msg="| 200 |     7.81366ms |             ::1 | GET | /chat_main |"
time="2024-03-23 14:41:04" level=info msg="| 200 |      68.306µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:41:04" level=info msg="| 200 |   16.867635ms |             ::1 | GET | /kefuinfo |"
time="2024-03-23 14:41:04" level=info msg="| 200 |    19.18659ms |             ::1 | GET | /ipblacks |"
time="2024-03-23 14:41:04" level=info msg="| 200 |   23.700176ms |             ::1 | GET | /replys |"
time="2024-03-23 14:41:05" level=info msg="| 200 |    3.683225ms |             ::1 | GET | /setting |"
time="2024-03-23 14:41:05" level=info msg="| 200 |  972.618317ms |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTcxMTE3NTQ2Miwia2VmdV9pZCI6MiwibmFtZSI6InJvb3QiLCJyb2xlX2lkIjoxLCJ0eXBlIjoia2VmdSJ9.ii25Wv3uLwtTF4gVuXsRdpe6oMAW1_fFHIS1a77Ibm4 |"
time="2024-03-23 14:41:06" level=info msg="| 200 |    5.255748ms |             ::1 | GET | /setting_statistics |"
time="2024-03-23 14:41:06" level=info msg="| 200 |     8.89105ms |             ::1 | GET | /statistics |"
time="2024-03-23 14:41:11" level=info msg="| 200 |    3.732416ms |             ::1 | GET | /setting |"
time="2024-03-23 14:41:11" level=info msg="| 200 | 3h57m35.434266202s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTcxMTE2MTY5Mywia2VmdV9pZCI6MSwibmFtZSI6ImtlZnUyIiwicm9sZV9pZCI6MSwidHlwZSI6ImtlZnUifQ.bpW5DbDHq6XNhhW48zDuotdtaH3PMyiAw7GuKb02mno |"
time="2024-03-23 14:41:18" level=info msg="| 200 |    6.713024ms |             ::1 | GET | /main |"
time="2024-03-23 14:41:19" level=info msg="| 200 |    2.669623ms |             ::1 | POST | /check_auth |"
time="2024-03-23 14:41:19" level=info msg="| 200 |    6.511096ms |             ::1 | GET | /chat_main |"
time="2024-03-23 14:41:19" level=info msg="| 200 |       97.49µs |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:41:19" level=info msg="| 200 |    3.481206ms |             ::1 | GET | /kefuinfo |"
time="2024-03-23 14:41:19" level=info msg="| 200 |    7.599724ms |             ::1 | GET | /ipblacks |"
time="2024-03-23 14:41:19" level=info msg="| 200 |   14.797125ms |             ::1 | GET | /replys |"
time="2024-03-23 14:41:21" level=info msg="| 200 |    4.056919ms |             ::1 | GET | /setting |"
time="2024-03-23 14:41:21" level=info msg="| 200 |  1.847484593s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTcxMTE2MTY5Mywia2VmdV9pZCI6MSwibmFtZSI6ImtlZnUyIiwicm9sZV9pZCI6MSwidHlwZSI6ImtlZnUifQ.bpW5DbDHq6XNhhW48zDuotdtaH3PMyiAw7GuKb02mno |"
time="2024-03-23 14:41:22" level=info msg="| 200 |    1.394856ms |             ::1 | GET | /setting_statistics |"
time="2024-03-23 14:41:23" level=info msg="| 200 |    1.858632ms |             ::1 | GET | /statistics |"
time="2024-03-23 14:42:27" level=info msg="| 200 |    3.802993ms |             ::1 | GET | /setting_modifypass |"
time="2024-03-23 14:42:29" level=info msg="| 200 |    3.553911ms |             ::1 | GET | /setting_avator |"
time="2024-03-23 14:42:29" level=info msg="| 200 |   11.307039ms |             ::1 | GET | /kefuinfo |"
time="2024-03-23 14:42:33" level=info msg="| 200 |    1.160988ms |             ::1 | GET | /setting_config |"
time="2024-03-23 14:42:33" level=info msg="| 200 |   11.422801ms |             ::1 | GET | /configs |"
time="2024-03-23 14:42:41" level=info msg="| 200 |    2.943149ms |             ::1 | GET | /setting_ipblack |"
time="2024-03-23 14:42:43" level=info msg="| 200 |     781.871µs |             ::1 | GET | /ipblacks_all |"
time="2024-03-23 14:42:44" level=info msg="| 200 |    4.328682ms |             ::1 | GET | /setting_deploy |"
time="2024-03-23 14:45:42" level=info msg="| 200 |    7.745531ms |       127.0.0.1 | GET | /chatIndex?kefu_id=cjk |"
time="2024-03-23 14:45:43" level=info msg="| 200 |   31.902205ms |       127.0.0.1 | POST | /visitor_login |"
time="2024-03-23 14:45:43" level=info msg="| 200 |    8.635837ms |       127.0.0.1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=e9d001ae-821c-4d80-b1ba-43663f8b1cda |"
time="2024-03-23 14:45:43" level=info msg="| 200 |    1.417022ms |       127.0.0.1 | GET | /notice?kefu_id=cjk |"
time="2024-03-23 14:45:43" level=info msg="| 200 |    7.369113ms |             ::1 | GET | /main |"
time="2024-03-23 14:45:44" level=info msg="| 200 |    1.260719ms |             ::1 | POST | /check_auth |"
time="2024-03-23 14:45:44" level=info msg="| 200 |    6.777265ms |             ::1 | GET | /chat_main |"
time="2024-03-23 14:45:46" level=info msg="| 200 |    1.499965ms |             ::1 | GET | /ipblacks |"
time="2024-03-23 14:45:46" level=info msg="| 200 |    7.490539ms |             ::1 | GET | /kefuinfo |"
time="2024-03-23 14:45:46" level=info msg="| 200 |   12.474945ms |             ::1 | GET | /replys |"
time="2024-03-23 14:45:46" level=info msg="| 200 |   15.855651ms |             ::1 | GET | /visitors_kefu_online |"
time="2024-03-23 14:45:47" level=info msg="| 200 |     5.09563ms |       127.0.0.1 | GET | /chatIndex?kefu_id=cjk |"
